date,shift,machine_id,machine_name,machine_type,machine_age_years,operator_id,product_code,planned_production_time_min,downtime_minutes,downtime_reason,actual_run_time_min,ideal_cycle_time_min,actual_cycle_time_min,ideal_units_possible,units_produced,units_good,units_defective
1/5/24,Afternoon (2PM-10PM),MC-108,Stamping Press 2,Stamping Press,18,OP-010,Connector-E,480,0,None,480,0.24,0.2451,2222,1958,1762,196
1/5/24,Night (10PM-6AM),MC-101,CNC Lathe A,CNC Lathe,8,OP-018,Bracket-A,480,0,None,480,0.52,0.5983,923,802,758,44
1/5/24,Night (10PM-6AM),MC-102,CNC Lathe B,CNC Lathe,12,OP-007,Valve-D,480,18,Material Shortage,462,0.58,0.8712,663,530,482,48
1/5/24,Night (10PM-6AM),MC-103,Injection Molder 1,Injection Molder,5,OP-018,Valve-D,480,0,None,480,0.31,0.4381,1290,1095,1065,30
1/5/24,Night (10PM-6AM),MC-104,Injection Molder 2,Injection Molder,15,OP-009,Valve-D,480,292,Unplanned Breakdown,188,0.35,0.5531,447,339,302,37
1/5/24,Night (10PM-6AM),MC-105,Assembly Line A,Assembly,3,OP-009,Bracket-A,480,238,Unplanned Breakdown,242,0.68,0.7925,355,305,301,4
1/5/24,Night (10PM-6AM),MC-106,Assembly Line B,Assembly,10,OP-019,Housing-B,480,202,Unplanned Breakdown,278,0.72,1.2033,297,231,209,22
1/5/24,Night (10PM-6AM),MC-107,Stamping Press 1,Stamping Press,7,OP-014,Gear-C,480,25,Material Shortage,455,0.21,0.3955,1444,1150,1081,69
1/5/24,Night (10PM-6AM),MC-108,Stamping Press 2,Stamping Press,18,OP-001,Gear-C,480,0,None,480,0.24,0.4395,1333,1092,898,194
1/6/24,Morning (6AM-2PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-010,Gear-C,480,0,None,480,0.52,0.8531,615,562,536,26
1/6/24,Morning (6AM-2PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-016,Bracket-A,480,44,Changeover,436,0.58,0.6008,751,725,655,70
1/6/24,Morning (6AM-2PM),MC-104,Injection Molder 2,Injection Molder,15,OP-005,Bracket-A,480,0,None,480,0.35,0.3985,1371,1204,1117,87
1/6/24,Morning (6AM-2PM),MC-105,Assembly Line A,Assembly,3,OP-012,Housing-B,480,35,Planned Maintenance,445,0.68,0.9521,503,467,456,11
1/6/24,Morning (6AM-2PM),MC-106,Assembly Line B,Assembly,10,OP-007,Valve-D,480,0,None,480,0.72,0.9295,555,516,477,39
1/6/24,Afternoon (2PM-10PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-006,Valve-D,480,87,Material Shortage,393,0.58,0.8316,564,472,427,45
1/6/24,Afternoon (2PM-10PM),MC-104,Injection Molder 2,Injection Molder,15,OP-010,Bracket-A,480,86,Planned Maintenance,394,0.35,0.4141,1125,951,850,101
1/6/24,Afternoon (2PM-10PM),MC-105,Assembly Line A,Assembly,3,OP-005,Valve-D,480,0,None,480,0.68,0.9007,588,532,521,11
1/6/24,Afternoon (2PM-10PM),MC-107,Stamping Press 1,Stamping Press,7,OP-019,Gear-C,480,0,None,480,0.21,0.3531,1523,1359,1306,53
1/6/24,Afternoon (2PM-10PM),MC-108,Stamping Press 2,Stamping Press,18,OP-006,Gear-C,480,0,None,480,0.24,0.4224,1333,1136,982,154
1/8/24,Morning (6AM-2PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-009,Valve-D,480,0,None,480,0.52,0.6637,769,723,684,39
1/8/24,Morning (6AM-2PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-009,Bracket-A,480,35,Changeover,445,0.58,0.642,767,693,623,70
1/8/24,Morning (6AM-2PM),MC-103,Injection Molder 1,Injection Molder,5,OP-006,Bracket-A,480,38,Changeover,442,0.31,0.3195,1425,1383,1357,26
1/8/24,Morning (6AM-2PM),MC-104,Injection Molder 2,Injection Molder,15,OP-009,Housing-B,480,0,None,480,0.35,0.5166,1054,929,847,82
1/8/24,Morning (6AM-2PM),MC-105,Assembly Line A,Assembly,3,OP-015,Connector-E,480,0,None,480,0.68,0.6215,784,772,759,13
1/8/24,Morning (6AM-2PM),MC-106,Assembly Line B,Assembly,10,OP-006,Gear-C,480,0,None,480,0.72,1.1707,444,410,372,38
1/8/24,Morning (6AM-2PM),MC-107,Stamping Press 1,Stamping Press,7,OP-017,Bracket-A,480,0,None,480,0.21,0.2241,2285,2141,2068,73
1/8/24,Morning (6AM-2PM),MC-108,Stamping Press 2,Stamping Press,18,OP-007,Valve-D,480,275,Unplanned Breakdown,205,0.24,0.3182,711,644,558,86
1/8/24,Afternoon (2PM-10PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-018,Valve-D,480,0,None,480,0.52,0.6873,769,698,669,29
1/8/24,Afternoon (2PM-10PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-003,Bracket-A,480,59,Changeover,421,0.58,0.6818,725,617,560,57
1/8/24,Afternoon (2PM-10PM),MC-103,Injection Molder 1,Injection Molder,5,OP-006,Valve-D,480,51,Changeover,429,0.31,0.4317,1153,993,972,21
1/8/24,Afternoon (2PM-10PM),MC-104,Injection Molder 2,Injection Molder,15,OP-006,Bracket-A,480,95,Planned Maintenance,385,0.35,0.3879,1100,992,894,98
1/8/24,Afternoon (2PM-10PM),MC-105,Assembly Line A,Assembly,3,OP-009,Housing-B,480,0,None,480,0.68,0.9514,542,504,497,7
1/8/24,Afternoon (2PM-10PM),MC-106,Assembly Line B,Assembly,10,OP-018,Housing-B,480,0,None,480,0.72,1.0714,512,448,413,35
1/8/24,Afternoon (2PM-10PM),MC-107,Stamping Press 1,Stamping Press,7,OP-009,Gear-C,480,61,Material Shortage,419,0.21,0.3383,1330,1238,1175,63
1/8/24,Afternoon (2PM-10PM),MC-108,Stamping Press 2,Stamping Press,18,OP-016,Housing-B,480,0,None,480,0.24,0.3655,1538,1313,1105,208
1/8/24,Night (10PM-6AM),MC-101,CNC Lathe A,CNC Lathe,8,OP-016,Connector-E,480,0,None,480,0.52,0.5691,1025,843,808,35
1/8/24,Night (10PM-6AM),MC-102,CNC Lathe B,CNC Lathe,12,OP-016,Bracket-A,480,116,Planned Maintenance,364,0.58,0.747,627,487,451,36
1/8/24,Night (10PM-6AM),MC-103,Injection Molder 1,Injection Molder,5,OP-012,Bracket-A,480,0,None,480,0.31,0.3507,1548,1368,1340,28
1/8/24,Night (10PM-6AM),MC-104,Injection Molder 2,Injection Molder,15,OP-002,Gear-C,480,33,Changeover,447,0.35,0.6774,851,659,530,129
1/8/24,Night (10PM-6AM),MC-105,Assembly Line A,Assembly,3,OP-014,Connector-E,480,40,Planned Maintenance,440,0.68,0.7304,718,602,596,6
1/8/24,Night (10PM-6AM),MC-106,Assembly Line B,Assembly,10,OP-009,Housing-B,480,61,Planned Maintenance,419,0.72,1.2032,447,348,316,32
1/8/24,Night (10PM-6AM),MC-107,Stamping Press 1,Stamping Press,7,OP-002,Housing-B,480,36,Changeover,444,0.21,0.3328,1626,1334,1289,45
1/8/24,Night (10PM-6AM),MC-108,Stamping Press 2,Stamping Press,18,OP-001,Connector-E,480,49,Material Shortage,431,0.24,0.2735,1995,1575,1358,217
1/9/24,Morning (6AM-2PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-011,Gear-C,480,38,Changeover,442,0.52,0.8445,566,523,498,25
1/9/24,Morning (6AM-2PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-002,Connector-E,480,53,Changeover,427,0.58,0.5611,818,761,698,63
1/9/24,Morning (6AM-2PM),MC-103,Injection Molder 1,Injection Molder,5,OP-011,Gear-C,480,68,Material Shortage,412,0.31,0.487,886,845,815,30
1/9/24,Morning (6AM-2PM),MC-104,Injection Molder 2,Injection Molder,15,OP-016,Valve-D,480,72,Planned Maintenance,408,0.35,0.4506,971,905,787,118
1/9/24,Morning (6AM-2PM),MC-105,Assembly Line A,Assembly,3,OP-004,Gear-C,480,115,Planned Maintenance,365,0.68,1.0853,357,336,326,10
1/9/24,Morning (6AM-2PM),MC-106,Assembly Line B,Assembly,10,OP-006,Bracket-A,480,0,None,480,0.72,0.7632,666,628,592,36
1/9/24,Morning (6AM-2PM),MC-107,Stamping Press 1,Stamping Press,7,OP-011,Gear-C,480,0,None,480,0.21,0.3302,1523,1453,1378,75
1/9/24,Morning (6AM-2PM),MC-108,Stamping Press 2,Stamping Press,18,OP-010,Housing-B,480,103,Unplanned Breakdown,377,0.24,0.3479,1208,1083,872,211
1/9/24,Afternoon (2PM-10PM),MC-101,CNC Lathe A,CNC Lathe,8,OP-004,Housing-B,480,0,None,480,0.52,0.7495,710,640,608,32
1/9/24,Afternoon (2PM-10PM),MC-102,CNC Lathe B,CNC Lathe,12,OP-008,Housing-B,480,105,Planned Maintenance,375,0.58,0.8673,497,432,380,52
1/9/24,Afternoon (2PM-10PM),MC-103,Injection Molder 1,Injection Molder,5,OP-006,Valve-D,480,108,Planned Maintenance,372,0.31,0.4032,1000,922,901,21
1/9/24,Afternoon (2PM-10PM),MC-104,Injection Molder 2,Injection Molder,15,OP-006,Valve-D,480,80,Material Shortage,400,0.35,0.4913,952,814,690,124
1/9/24,Afternoon (2PM-10PM),MC-105,Assembly Line A,Assembly,3,OP-002,Bracket-A,480,17,Material Shortage,463,0.68,0.7836,680,590,581,9
1/9/24,Afternoon (2PM-10PM),MC-106,Assembly Line B,Assembly,10,OP-005,Bracket-A,480,0,None,480,0.72,0.8289,666,579,546,33
1/9/24,Afternoon (2PM-10PM),MC-107,Stamping Press 1,Stamping Press,7,OP-011,Housing-B,480,31,Changeover,449,0.21,0.2968,1644,1512,1430,82
1/9/24,Afternoon (2PM-10PM),MC-108,Stamping Press 2,Stamping Press,18,OP-003,Connector-E,480,15,Material Shortage,465,0.24,0.2565,2152,1812,1649,163
